"Date","Product_Category","Trade_Type","Trade_Volume"
2021-01-01,"Machinery","Export",9349
2021-02-01,"Machinery","Import",1289
2021-03-01,"Machinery","Export",1797
2021-04-01,"Machinery","Import",9769
2021-05-01,"Machinery","Export",1389
2021-06-01,"Machinery","Import",4584
2021-07-01,"Machinery","Export",7877
2021-08-01,"Machinery","Import",4461
2021-09-01,"Machinery","Export",6348
2021-10-01,"Machinery","Import",6246
2021-11-01,"Machinery","Export",3920
2021-12-01,"Machinery","Import",6500
2022-01-01,"Machinery","Export",8556
2022-02-01,"Machinery","Import",7217
2022-03-01,"Machinery","Export",9191
2022-04-01,"Machinery","Import",6487
2022-05-01,"Machinery","Export",3368
2022-06-01,"Machinery","Import",5855
2022-07-01,"Machinery","Export",7031
2022-08-01,"Machinery","Import",8579
2022-09-01,"Machinery","Export",8763
2022-10-01,"Machinery","Import",3982
2022-11-01,"Machinery","Export",2432
2022-12-01,"Machinery","Import",6983
2023-01-01,"Machinery","Export",8424
2023-02-01,"Machinery","Import",1981
2023-03-01,"Machinery","Export",2479
2023-04-01,"Machinery","Import",8559
2023-05-01,"Machinery","Export",4608
2023-06-01,"Machinery","Import",5360
2023-07-01,"Machinery","Export",4254
2023-08-01,"Machinery","Import",9032
2023-09-01,"Machinery","Export",4832
2023-10-01,"Machinery","Import",9908
2023-11-01,"Machinery","Export",6642
2023-12-01,"Machinery","Import",5147
2024-01-01,"Machinery","Export",3070
2024-02-01,"Machinery","Import",5050
2024-03-01,"Machinery","Export",5488
2024-04-01,"Machinery","Import",1087
2024-05-01,"Machinery","Export",1556
2024-06-01,"Machinery","Import",8079
2024-07-01,"Machinery","Export",6037
2024-08-01,"Machinery","Import",7762
2024-09-01,"Machinery","Export",7464
2024-10-01,"Machinery","Import",8207
2024-11-01,"Machinery","Export",6901
2024-12-01,"Machinery","Import",9731
2020-01-01,"Minerals","Export",3378
2020-02-01,"Minerals","Import",7036
2020-03-01,"Minerals","Export",4985
2020-04-01,"Minerals","Import",2866
2020-05-01,"Minerals","Export",7301
2020-06-01,"Minerals","Import",3265
2020-07-01,"Minerals","Export",2312
2020-08-01,"Minerals","Import",3579
2020-09-01,"Minerals","Export",3440
2020-10-01,"Minerals","Import",8377
2020-11-01,"Minerals","Export",2864
2020-12-01,"Minerals","Import",9951
2021-01-01,"Minerals","Export",4467
2021-02-01,"Minerals","Import",7982
2021-03-01,"Minerals","Export",4091
2021-04-01,"Minerals","Import",6835
2021-05-01,"Minerals","Export",7624
2021-06-01,"Minerals","Import",4201
2021-07-01,"Minerals","Export",4932
2021-08-01,"Minerals","Import",8946
2021-09-01,"Minerals","Export",6064
2021-10-01,"Minerals","Import",5729
2021-11-01,"Minerals","Export",2045
2021-12-01,"Minerals","Import",5414
2022-01-01,"Minerals","Export",7523
2022-02-01,"Minerals","Import",1366
2022-03-01,"Minerals","Export",3123
2022-04-01,"Minerals","Import",4993
2022-05-01,"Minerals","Export",5638
2022-06-01,"Minerals","Import",3643
2022-07-01,"Minerals","Export",9994
2022-08-01,"Minerals","Import",2313
2022-09-01,"Minerals","Export",8442
2022-10-01,"Minerals","Import",9157
2022-11-01,"Minerals","Export",2116
2022-12-01,"Minerals","Import",6146
2023-01-01,"Minerals","Export",7944
2023-02-01,"Minerals","Import",8864
2023-03-01,"Minerals","Export",3451
2023-04-01,"Minerals","Import",1735
2023-05-01,"Minerals","Export",8753
2023-06-01,"Minerals","Import",5187
2023-07-01,"Minerals","Export",7231
2023-08-01,"Minerals","Import",8100
2023-09-01,"Minerals","Export",9370
2023-10-01,"Minerals","Import",6464
2023-11-01,"Minerals","Export",6577
2023-12-01,"Minerals","Import",9918
2024-01-01,"Minerals","Export",2008
2024-02-01,"Minerals","Import",7351
2024-03-01,"Minerals","Export",5633
2024-04-01,"Minerals","Import",5926
2024-05-01,"Minerals","Export",7704
2024-06-01,"Minerals","Import",7012
2024-07-01,"Minerals","Export",9911
2024-08-01,"Minerals","Import",8542
2024-09-01,"Minerals","Export",3565
2024-10-01,"Minerals","Import",8812
2024-11-01,"Minerals","Export",4678
2024-12-01,"Minerals","Import",7766
